,TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,REPORT_DATE,REPORT_COUNT,LINK
35,Chambers Bay Loop,Puget Sound and Islands,3.25,roundtrip,315.0,234.0,4.73,11,2019-06-08,69,https://www.wta.org/go-hiking/hikes/chambers-bay-loop
36,Chenuis Falls,Mount Rainier Area,8.0,roundtrip,500.0,2200.0,3.17,6,2019-06-29,72,https://www.wta.org/go-hiking/hikes/chenuis-falls
37,Chelan Ridge,Central Cascades,1.2,roundtrip,250.0,,0.0,0,2012-09-03,1,https://www.wta.org/go-hiking/hikes/chelan-ridge
38,Cape Horn,Southwest Washington,7.2,roundtrip,1300.0,1350.0,3.69,13,2019-07-04,71,https://www.wta.org/go-hiking/hikes/cape-horn
39,Camp Long,Puget Sound and Islands,1.6,roundtrip,240.0,350.0,3.33,6,2019-02-26,16,https://www.wta.org/go-hiking/hikes/camp-long
40,Cape Flattery,Olympic Peninsula,1.5,roundtrip,200.0,250.0,4.27,41,2019-06-16,153,https://www.wta.org/go-hiking/hikes/cape-flattery
41,Cattle Point Lighthouse,Puget Sound and Islands,0.5,roundtrip,25.0,25.0,5.0,1,2019-03-02,6,https://www.wta.org/go-hiking/hikes/cattle-point-lighthouse
42,Cape Alava,Olympic Peninsula,6.2,roundtrip,100.0,350.0,3.4,10,2019-06-22,59,https://www.wta.org/go-hiking/hikes/cape-alava
43,Carne Mountain,Central Cascades,8.0,roundtrip,3600.0,7085.0,4.06,16,2019-07-02,120,https://www.wta.org/go-hiking/hikes/carne-mountain
44,Carter Falls,Mount Rainier Area,2.8,roundtrip,660.0,3650.0,3.81,16,2019-06-30,93,https://www.wta.org/go-hiking/hikes/carter-falls
45,Canyon Lake Community Forest,North Cascades,7.5,roundtrip,2400.0,,5.0,1,2019-06-21,12,https://www.wta.org/go-hiking/hikes/canyon-lake-community-forest
46,CCC Road: Blowout Creek Trailhead,Snoqualmie Region,7.0,roundtrip,620.0,1520.0,2.25,4,2019-06-09,75,https://www.wta.org/go-hiking/hikes/ccc-road-blowout-creek-trailhead
47,Cedar Creek Park,Puget Sound and Islands,4.0,roundtrip,300.0,,0.0,0,2017-04-11,5,https://www.wta.org/go-hiking/hikes/cedar-creek-park
48,Chelan Lakeshore Trail,Central Cascades,17.0,one-way,4030.0,1700.0,3.64,11,2019-06-21,128,https://www.wta.org/go-hiking/hikes/chelan-lakeshore
49,Canyon Lake,Central Cascades,12.0,roundtrip,3800.0,6400.0,2.2,5,2019-06-24,14,https://www.wta.org/go-hiking/hikes/canyon-lake
50,Chatter Creek,Central Cascades,11.0,roundtrip,3800.0,6400.0,4.0,4,2019-06-16,129,https://www.wta.org/go-hiking/hikes/chatter-creek
51,Camp Muir,Mount Rainier Area,8.0,roundtrip,4640.0,10080.0,4.5,36,2019-07-01,440,https://www.wta.org/go-hiking/hikes/camp-muir
52,Cedar Flats Nature Trail,Southwest Washington,1.1,roundtrip,67.0,1380.0,2.5,4,2019-06-02,5,https://www.wta.org/go-hiking/hikes/cedar-flat
53,Carbon River to Ipsut Falls,Mount Rainier Area,10.8,roundtrip,,,3.29,7,2019-06-29,210,https://www.wta.org/go-hiking/hikes/carbon-river
54,Cedar River Trail,Puget Sound and Islands,17.4,one-way,820.0,600.0,3.62,8,2019-03-25,28,https://www.wta.org/go-hiking/hikes/cedar-river-trail
55,Candy Point Trail,Central Washington,1.5,roundtrip,700.0,,0.0,0,2019-03-23,5,https://www.wta.org/go-hiking/hikes/candy-point-trail
56,CCC Road: Lower Trailhead,Snoqualmie Region,8.0,roundtrip,550.0,1650.0,4.0,3,2019-01-27,26,https://www.wta.org/go-hiking/hikes/ccc-road-lower-trailhead
57,Canoe Peak,Snoqualmie Region,3.0,roundtrip,3600.0,5400.0,0.0,0,2018-07-04,6,https://www.wta.org/go-hiking/hikes/canoe-peak
58,Moran State Park - Cascade Lake,Puget Sound and Islands,2.7,roundtrip,200.0,480.0,3.0,7,2019-05-29,21,https://www.wta.org/go-hiking/hikes/cascade-lake
59,Cedar Falls Snowshoe,North Cascades,9.6,roundtrip,1350.0,3570.0,4.33,3,2017-01-15,3,https://www.wta.org/go-hiking/hikes/cedar-falls-snowshoe
60,Top Lake,Central Cascades,8.6,roundtrip,,,2.2,5,2018-08-18,26,https://www.wta.org/go-hiking/hikes/top-lake
61,Tomyhoi Peak,North Cascades,,,,,3.71,7,2018-10-17,24,https://www.wta.org/go-hiking/hikes/tomyhoi-peak
62,Three Forks,Olympic Peninsula,,,,,2.75,4,2019-06-29,31,https://www.wta.org/go-hiking/hikes/three-forks-1
63,Thunder Creek,South Cascades,,,,,4.0,4,2018-08-03,2,https://www.wta.org/go-hiking/hikes/thunder-creek-2
64,Thirty Mile,Eastern Washington,,,,,3.33,3,1999-07-25,1,https://www.wta.org/go-hiking/hikes/thirty-mile
65,Three O'Clock Ridge,Olympic Peninsula,,,,,3.33,3,,0,https://www.wta.org/go-hiking/hikes/three-oclock-ridge
66,Thunder Creek,Eastern Washington,,,,,2.8,5,2018-07-05,5,https://www.wta.org/go-hiking/hikes/thunder-creek
67,Three Mile Creek,North Cascades,,,,,1.6,5,,0,https://www.wta.org/go-hiking/hikes/three-mile-creek
68,Three Prong Creek,North Cascades,,,,,4.25,4,,0,https://www.wta.org/go-hiking/hikes/three-prong-creek
69,Three Fools Creek,North Cascades,,,,,3.0,4,2017-08-03,8,https://www.wta.org/go-hiking/hikes/three-fools-creek
70,Tired Creek,Snoqualmie Region,,,,,3.5,4,2019-06-15,44,https://www.wta.org/go-hiking/hikes/tired-creek
71,Sunrise Nature,Mount Rainier Area,,,,,3.8,5,2016-06-27,8,https://www.wta.org/go-hiking/hikes/sunrise-nature
72,Talapus Lake Snowshoe,Snoqualmie Region,8.5,roundtrip,1600.0,3280.0,3.0,3,2019-03-10,94,https://www.wta.org/go-hiking/hikes/talapus-lake-snowshoe
73,Tahoma Creek,Mount Rainier Area,,,,,4.0,6,2019-05-30,2,https://www.wta.org/go-hiking/hikes/tahoma-creek
74,Table Mountain,Central Cascades,,,,,3.25,4,2014-06-21,4,https://www.wta.org/go-hiking/hikes/table-mountain-2
75,Taneum Spur,Snoqualmie Region,,,,,4.0,4,1999-05-30,1,https://www.wta.org/go-hiking/hikes/taneum-spur
76,Tamarack Peak,North Cascades,,,,,3.5,4,2017-08-30,6,https://www.wta.org/go-hiking/hikes/tamarack-peak
77,Stub Creek,North Cascades,,,,,2.25,4,2002-08-01,1,https://www.wta.org/go-hiking/hikes/stub-creek
78,Sun Top Snowshoe,Mount Rainier Area,10.0,roundtrip,3000.0,5280.0,3.0,3,2019-05-05,27,https://www.wta.org/go-hiking/hikes/sun-top-snowshoe
79,Summit Springs,South Cascades,,,,,3.0,5,2018-05-27,5,https://www.wta.org/go-hiking/hikes/summit-springs
80,Sundown Pass,Olympic Peninsula,,,,,3.0,5,2018-07-19,5,https://www.wta.org/go-hiking/hikes/sundown-pass
81,Suiattle Pass,Central Cascades,,,,,2.25,4,2018-09-04,38,https://www.wta.org/go-hiking/hikes/suiattle-pass
82,Sulphur Moraine,North Cascades,,,,,2.67,3,,0,https://www.wta.org/go-hiking/hikes/sulphur-moraine
83,Sugarloaf,Central Cascades,,,,,2.2,5,2019-06-21,10,https://www.wta.org/go-hiking/hikes/sugarloaf
84,Swamp Lake,Mount Rainier Area,7.2,roundtrip,,4800.0,3.0,6,2019-05-30,26,https://www.wta.org/go-hiking/hikes/swamp-lake
85,Swallow Caves,Central Cascades,,,,,3.0,4,,0,https://www.wta.org/go-hiking/hikes/swallow-caves
86,Swamp Creek,Central Cascades,,,,,3.0,3,2007-07-01,1,https://www.wta.org/go-hiking/hikes/swamp-creek
87,Sunset Park and Golden Lakes,Mount Rainier Area,,,,,3.67,6,2019-06-30,16,https://www.wta.org/go-hiking/hikes/sunset-park-and-golden-lakes
88,Tahnemus,South Cascades,,,,,3.25,4,2008-10-30,2,https://www.wta.org/go-hiking/hikes/tahnemus
89,Swauk Forest Discovery Trail  Snowshoe,Central Cascades,5.0,roundtrip,450.0,4552.0,1.5,2,2019-02-13,7,https://www.wta.org/go-hiking/hikes/swauk-forest-discovery-trail-snowshoe
90,Westport State Park - Westport Light Trail,Olympic Peninsula,2.0,roundtrip,15.0,30.0,0.0,0,2019-07-01,16,https://www.wta.org/go-hiking/hikes/westport-light-trail
91,West Fork Teanaway River,Snoqualmie Region,9.6,one-way,2800.0,5750.0,2.75,4,2016-05-30,5,https://www.wta.org/go-hiking/hikes/west-fork-teanaway-river
92,Wilderness Peak Loop,Issaquah Alps,4.0,roundtrip,1200.0,1598.0,3.04,24,2019-06-28,214,https://www.wta.org/go-hiking/hikes/wilderness-peak
93,Whipple Creek Park,Southwest Washington,3.1,roundtrip,110.0,200.0,4.5,2,2019-04-28,26,https://www.wta.org/go-hiking/hikes/whipple-creek-park
94,West Elwha,Olympic Peninsula,6.0,roundtrip,500.0,650.0,4.14,7,2019-06-09,30,https://www.wta.org/go-hiking/hikes/west-elwha
95,Westside Road,Mount Rainier Area,11.0,roundtrip,,,1.75,4,2019-06-22,37,https://www.wta.org/go-hiking/hikes/westside-road
96,Whistle Punk Trail,Southwest Washington,1.5,roundtrip,,1200.0,2.5,4,2018-07-19,9,https://www.wta.org/go-hiking/hikes/whistle-punk
97,White Pass to Chinook Pass,South Cascades,28.0,one-way,2200.0,,3.5,4,2018-09-04,68,https://www.wta.org/go-hiking/hikes/white-pass-chinook-pass-pct-200
98,Westcott Bay Nature Reserve and Sculpture Park,Puget Sound and Islands,,,,,0.0,0,2018-08-17,4,https://www.wta.org/go-hiking/hikes/westcott-bay-nature-reserve-and-sculpture-park
99,White Bluffs - South Slope,Central Washington,10.0,roundtrip,530.0,900.0,3.2,5,2019-03-23,35,https://www.wta.org/go-hiking/hikes/white-bluffs-south
100,West Fork Agnes Creek,Central Cascades,17.0,roundtrip,,,3.5,4,2013-09-14,1,https://www.wta.org/go-hiking/hikes/west-fork-agnes-creek
101,West Peak,Issaquah Alps,,,,,2.43,7,2019-05-14,39,https://www.wta.org/go-hiking/hikes/west-peak
102,West Fork Methow River,North Cascades,16.8,roundtrip,1780.0,4300.0,3.6,5,2019-06-16,26,https://www.wta.org/go-hiking/hikes/west-fork-methow-river
103,West Tiger 2,Issaquah Alps,7.8,roundtrip,2300.0,2757.0,2.25,4,2019-06-25,147,https://www.wta.org/go-hiking/hikes/west-tiger-2
104,Willard Springs Trail,South Cascades,2.0,roundtrip,,,3.0,2,2019-06-03,9,https://www.wta.org/go-hiking/hikes/willard-springs-trail
105,Frosty - Wildhorse Creek,Central Cascades,,,,,3.75,4,2018-08-12,68,https://www.wta.org/go-hiking/hikes/wildhorse-creek
106,Wilson Creek,Central Cascades,2.1,one-way,,,2.75,4,2008-08-10,1,https://www.wta.org/go-hiking/hikes/wilson-creek
107,Winchester Mountain,North Cascades,3.4,roundtrip,1300.0,6521.0,4.39,23,2019-06-15,159,https://www.wta.org/go-hiking/hikes/winchester-mountain
108,Williams Creek,North Cascades,13.8,roundtrip,3600.0,6500.0,3.75,4,2018-07-28,10,https://www.wta.org/go-hiking/hikes/williams-creek
109,Wilson Creek,Snoqualmie Region,5.6,roundtrip,220.0,5860.0,3.2,5,2018-08-05,2,https://www.wta.org/go-hiking/hikes/wilson-creek-2
110,Umtanum Ridge Crest,Central Washington,6.0,roundtrip,2400.0,3480.0,3.73,11,2019-07-02,166,https://www.wta.org/go-hiking/hikes/umtanum-ridge-crest
111,Union Bay Nature Area,Puget Sound and Islands,1.5,roundtrip,,,2.33,3,2019-05-04,11,https://www.wta.org/go-hiking/hikes/union-bay-nature-area
112,Breazeale Interpretive Center,Puget Sound and Islands,1.5,roundtrip,,,3.67,3,2018-12-30,8,https://www.wta.org/go-hiking/hikes/upland-trail-breazeale-interpretive-center
113,Union Peak,Central Cascades,,,1096.0,5696.0,0.0,0,2019-03-04,12,https://www.wta.org/go-hiking/hikes/union-peak
114,Van Trump Park,Mount Rainier Area,6.0,roundtrip,2150.0,5850.0,4.32,19,2019-06-28,137,https://www.wta.org/go-hiking/hikes/van-trump-park
115,Slab Camp Creek and Gray Wolf River,Olympic Peninsula,5.5,roundtrip,1100.0,2540.0,3.75,8,2019-06-19,107,https://www.wta.org/go-hiking/hikes/upper-gray-wolf-river
116,Union Creek,Mount Rainier Area,4.0,roundtrip,850.0,4000.0,3.0,8,2019-06-21,48,https://www.wta.org/go-hiking/hikes/union-creek
117,Umtanum Creek Falls,Central Washington,3.0,roundtrip,700.0,2000.0,3.69,13,2019-07-04,104,https://www.wta.org/go-hiking/hikes/umtanum-creek-falls
118,Upper Falls Creek Trail,Southwest Washington,18.0,roundtrip,1100.0,2400.0,2.25,4,2018-11-04,9,https://www.wta.org/go-hiking/hikes/upper-falls-creek
119,Upper Lake Mills,Olympic Peninsula,0.8,roundtrip,400.0,,2.6,5,2017-09-15,9,https://www.wta.org/go-hiking/hikes/upper-lake-mills
120,Explorer Falls,North Cascades,2.5,roundtrip,250.0,850.0,3.38,13,2019-06-23,107,https://www.wta.org/go-hiking/hikes/explorer-falls
121,Evergreen Mountain Lookout,Central Cascades,2.8,roundtrip,1425.0,5587.0,3.57,14,2019-07-01,148,https://www.wta.org/go-hiking/hikes/evergreen-mountain-lookout
122,Fishtrap Lake - North,Eastern Washington,4.0,roundtrip,126.0,,1.5,4,2019-05-25,11,https://www.wta.org/go-hiking/hikes/fishtrap-lake-north
123,Emmons Moraine,Mount Rainier Area,3.0,roundtrip,900.0,5200.0,3.62,8,2019-06-16,65,https://www.wta.org/go-hiking/hikes/emmons-glacier-view
124,Fort Casey State Park,Puget Sound and Islands,2.5,roundtrip,200.0,200.0,3.33,6,2019-04-20,23,https://www.wta.org/go-hiking/hikes/fort-casey-state-park
125,Fisher Lake,Central Cascades,10.0,roundtrip,1580.0,5171.0,3.62,8,2019-06-09,48,https://www.wta.org/go-hiking/hikes/fisher-lake
126,Fallsview Canyon (Falls View),Olympic Peninsula,1.5,roundtrip,300.0,400.0,3.43,7,2019-05-26,60,https://www.wta.org/go-hiking/hikes/fallsview-canyon-1
127,Fort Ebey State Park,Puget Sound and Islands,4.0,roundtrip,520.0,570.0,4.14,7,2019-07-01,52,https://www.wta.org/go-hiking/hikes/fort-ebey-state-park
128,Esmeralda Peak Loop,Snoqualmie Region,12.1,roundtrip,2940.0,6000.0,5.0,1,2019-06-08,8,https://www.wta.org/go-hiking/hikes/esmeralda-peak-loop
129,McCollum Park,Puget Sound and Islands,1.2,roundtrip,40.0,390.0,4.0,2,2019-04-04,24,https://www.wta.org/go-hiking/hikes/forest-loop-trail
130,Falls Creek Falls,North Cascades,4.0,roundtrip,,,3.38,8,2018-11-18,16,https://www.wta.org/go-hiking/hikes/falls-creek-1
131,Florence Peak,Mount Rainier Area,8.0,roundtrip,3700.0,,0.0,0,2019-06-18,30,https://www.wta.org/go-hiking/hikes/florence-peak
132,Federation Forest State Park,Mount Rainier Area,5.0,roundtrip,150.0,1800.0,3.25,12,2019-06-17,73,https://www.wta.org/go-hiking/hikes/federation-forest
133,North Bonneville Heritage Trails,Southwest Washington,12.0,roundtrip,20.0,40.0,0.0,0,2018-03-03,10,https://www.wta.org/go-hiking/hikes/fort-cascades-loop
134,Evans Creek Preserve,Puget Sound and Islands,4.2,roundtrip,325.0,480.0,3.94,17,2019-06-09,110,https://www.wta.org/go-hiking/hikes/evans-creek-preserve
135,Fletcher Canyon,Olympic Peninsula,3.8,roundtrip,1100.0,1400.0,3.0,8,2019-05-25,27,https://www.wta.org/go-hiking/hikes/fletcher-canyon
136,Finner Creek,Central Cascades,,,,,0.0,0,2011-07-23,1,https://www.wta.org/go-hiking/hikes/finner-creek
137,Esmeralda Peak (Esmerelda),Snoqualmie Region,,,,6362.0,4.0,3,2018-11-03,18,https://www.wta.org/go-hiking/hikes/esmerelda-peak
138,Eruption Trail,South Cascades,0.5,roundtrip,25.0,4200.0,2.33,3,2019-06-15,12,https://www.wta.org/go-hiking/hikes/eruption-trail
139,Ferguson Lake Trail,North Cascades,4.0,roundtrip,1580.0,6631.0,3.83,6,2018-08-02,13,https://www.wta.org/go-hiking/hikes/ferguson-lake
140,Far Country,Issaquah Alps,0.6,roundtrip,,,3.0,7,2019-05-11,54,https://www.wta.org/go-hiking/hikes/far-country
141,Flaming Geyser State Park,Puget Sound and Islands,4.0,roundtrip,450.0,425.0,2.44,16,2019-04-16,63,https://www.wta.org/go-hiking/hikes/flaming-geyser-state-park
142,Elowah and Upper McCord Creek Falls,Southwest Washington,3.4,roundtrip,620.0,660.0,4.33,3,2017-08-27,8,https://www.wta.org/go-hiking/hikes/elowah-and-upper-mccord-creek-falls
143,Fire and Ice Trail,North Cascades,0.5,roundtrip,100.0,4400.0,3.6,5,2018-09-01,11,https://www.wta.org/go-hiking/hikes/fire-and-ice-trail
144,Foothills Trail,Puget Sound and Islands,25.0,roundtrip,,,0.0,0,2019-03-16,9,https://www.wta.org/go-hiking/hikes/foothills-trail
145,Flat Creek,Central Cascades,11.0,roundtrip,500.0,2000.0,2.75,4,2012-09-28,2,https://www.wta.org/go-hiking/hikes/flat-creek
146,Feryn Ranch Conservation Area,Eastern Washington,1.0,roundtrip,,,5.0,1,2018-06-21,4,https://www.wta.org/go-hiking/hikes/feryn-ranch-conservation-area
147,East Ridge Trail,Issaquah Alps,2.8,roundtrip,,,4.0,6,2019-05-22,33,https://www.wta.org/go-hiking/hikes/east-ridge
148,East Peak,Snoqualmie Region,8.6,roundtrip,2500.0,,2.86,7,2019-06-29,378,https://www.wta.org/go-hiking/hikes/east-peak-rattlesnake-trail
149,Easton Ridge,Snoqualmie Region,6.0,roundtrip,2270.0,4470.0,3.14,7,2019-07-04,105,https://www.wta.org/go-hiking/hikes/easton-ridge
150,White Pass - Pilot Ridge Loop,North Cascades,29.2,roundtrip,7500.0,6360.0,4.62,8,2019-06-29,60,https://www.wta.org/go-hiking/hikes/white-pass-pilot-ridge-loop
151,White Salmon Road Snowshoe,North Cascades,5.0,roundtrip,485.0,3500.0,3.67,3,2019-01-27,24,https://www.wta.org/go-hiking/hikes/white-salmon-creek-snowshoe
152,Hanford Reach - North,Central Washington,7.0,roundtrip,500.0,725.0,3.85,13,2019-06-22,67,https://www.wta.org/go-hiking/hikes/white-bluffs-north
153,White Mountain via Kettle Crest Trail South,Eastern Washington,28.0,roundtrip,1500.0,6921.0,3.2,5,2019-06-29,5,https://www.wta.org/go-hiking/hikes/white-mountain
154,West Hylebos Wetlands,Puget Sound and Islands,1.2,roundtrip,,70.0,3.38,8,2018-09-29,14,https://www.wta.org/go-hiking/hikes/west-hylebos-wetlands
155,West Fork Buttermilk,North Cascades,19.0,roundtrip,,7480.0,3.25,4,2017-10-09,12,https://www.wta.org/go-hiking/hikes/west-fork-buttermilk-river
156,Whatcom Falls Park,Puget Sound and Islands,4.0,roundtrip,50.0,,4.14,7,2019-06-22,46,https://www.wta.org/go-hiking/hikes/whatcom-creek
157,Whiskey Dick Wildlife Area - Bluebird Trail,Central Washington,1.7,roundtrip,315.0,,0.0,0,2019-05-27,9,https://www.wta.org/go-hiking/hikes/whiskey-dick-wildlife-area-bluebird-trail
158,West Tiger 3,Issaquah Alps,5.0,roundtrip,2100.0,2525.0,3.31,32,2019-06-28,577,https://www.wta.org/go-hiking/hikes/west-tiger-3
159,Weowna Park,Puget Sound and Islands,3.5,roundtrip,600.0,320.0,5.0,2,2019-06-19,32,https://www.wta.org/go-hiking/hikes/weona-park-bellevue
160,White Chuck Bench,North Cascades,5.0,roundtrip,,,2.7,10,2019-05-27,103,https://www.wta.org/go-hiking/hikes/white-chuck-bench
161,Westberg Trail,Central Washington,4.0,roundtrip,1800.0,3560.0,3.75,12,2019-06-01,99,https://www.wta.org/go-hiking/hikes/westberg-trail
162,Whitehorse Trail - Swede Heaven to Darrington,North Cascades,6.0,one-way,,150.0,3.67,3,2018-08-04,20,https://www.wta.org/go-hiking/hikes/whitehorse-rail-trail
163,Anacortes Community Forest Lands - Whistle Lake,Puget Sound and Islands,4.0,roundtrip,580.0,600.0,4.27,15,2019-05-27,98,https://www.wta.org/go-hiking/hikes/whistle-lake
164,Whiskey Dick Wildlife Area - Ridgeline Solar Trail,Central Washington,2.4,roundtrip,320.0,3873.0,0.0,0,2019-05-27,5,https://www.wta.org/go-hiking/hikes/whiskey-dick-wildlife-area-ridgeline-solar-trail
165,Wild Horses Monument,Central Washington,0.4,roundtrip,150.0,1300.0,2.33,6,2018-06-22,19,https://www.wta.org/go-hiking/hikes/wild-horses-monument
166,Wenatchee Mountain,Central Washington,,,,,0.0,0,2018-06-08,3,https://www.wta.org/go-hiking/hikes/wenatchee-mountain
167,White Chuck Mountain,North Cascades,4.0,roundtrip,2100.0,6989.0,3.0,2,2019-07-04,19,https://www.wta.org/go-hiking/hikes/white-chuck-mountain
168,Whittier Ridge-Lakes Loop,South Cascades,14.3,roundtrip,2600.0,5840.0,3.88,8,2019-06-22,22,https://www.wta.org/go-hiking/hikes/whittier-ridge-lakes-loop
169,West Fork Dosewallips River,Olympic Peninsula,15.8,roundtrip,2400.0,3600.0,4.33,6,2019-04-27,62,https://www.wta.org/go-hiking/hikes/west-fork-dosewallips-river
170,Deception Pass State Park - West Beach Sand Dunes,Puget Sound and Islands,1.2,roundtrip,,,4.0,4,2019-06-29,29,https://www.wta.org/go-hiking/hikes/west-beach-deception-pass-state-park
171,West Side Road,Issaquah Alps,,,,,2.75,4,2018-03-15,17,https://www.wta.org/go-hiking/hikes/west-side-road
172,West Tiger No. 1 via Fred's Corner,Issaquah Alps,7.0,roundtrip,2450.0,2948.0,3.14,7,2019-06-25,81,https://www.wta.org/go-hiking/hikes/west-tiger-1
173,West Access Trail,Issaquah Alps,1.1,roundtrip,800.0,1340.0,2.5,6,2019-01-25,22,https://www.wta.org/go-hiking/hikes/west-access
174,Whistler Canyon Trail,Eastern Washington,24.0,roundtrip,3000.0,3930.0,4.0,1,2019-04-12,19,https://www.wta.org/go-hiking/hikes/whistler-canyon-trail
175,Whiskey Dick Wildlife Area - Backcountry Trail,Central Washington,0.8,roundtrip,80.0,,0.0,0,2019-05-27,10,https://www.wta.org/go-hiking/hikes/whiskey-dick-wildlife-area-backcountry-trail
176,West Fork Pasayten River,North Cascades,33.0,roundtrip,2400.0,7200.0,3.75,4,2018-07-01,10,https://www.wta.org/go-hiking/hikes/west-fork-pasayten-river
177,West Butte,Eastern Washington,,,,5504.0,3.0,3,2019-06-15,3,https://www.wta.org/go-hiking/hikes/west-butte
178,Whiskey Dick Wildlife Area,Central Washington,8.0,roundtrip,1750.0,3850.0,3.0,6,2019-05-27,61,https://www.wta.org/go-hiking/hikes/whiskey-dick-wildlife-area
