TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Fairfax Ghost Town,Mount Rainier Area,2.35,roundtrip,104.0,1446.0,0.0,0,47.01141,-122.02141,2019-11-03,4,https://www.wta.org/go-hiking/hikes/fairfax-ghost-town
Dewey Lake,Mount Rainier Area,6.0,roundtrip,600.0,5900.0,3.92,26,46.8694,-121.51965000000001,2019-09-14,177,https://www.wta.org/go-hiking/hikes/dewey-lakes
Capitol State Forest - Porter Trail,Olympic Peninsula,26.0,roundtrip,400.0,2050.0,0.0,0,46.977403518102015,-123.25746898280335,2018-09-02,1,https://www.wta.org/go-hiking/hikes/capitol-state-forest-porter-trail
BPA Trail,Puget Sound and Islands,7.28,roundtrip,,420.0,4.0,1,47.294213,-122.34355399999998,2019-01-11,2,https://www.wta.org/go-hiking/hikes/bpa-trail
Deadwood Lakes,Mount Rainier Area,2.2,roundtrip,470.0,5600.0,0.0,0,46.87476601350273,-121.51720583438873,2019-07-18,5,https://www.wta.org/go-hiking/hikes/deadwood-lakes
Juanita Bay Park,Puget Sound and Islands,2.0,trails,,,0.0,0,47.6953125,-122.2102051,2019-10-06,6,https://www.wta.org/go-hiking/hikes/juanita-bay-park
Granite Creek,Snoqualmie Region,5.0,roundtrip,2600.0,4600.0,0.0,0,47.161729,-121.09121800000003,2019-05-19,2,https://www.wta.org/go-hiking/hikes/granite-creek-1
Mud Mountain Dam - River Trail,Mount Rainier Area,7.0,roundtrip,150.0,1300.0,0.0,0,47.1447,-121.9332,2019-03-31,2,https://www.wta.org/go-hiking/hikes/mud-mountain-dam-river-trail
Mud Mountain Dam - Rim Trail,Mount Rainier Area,4.0,roundtrip,80.0,1300.0,2.2,5,47.14465463279626,-121.9332218170166,2019-04-26,26,https://www.wta.org/go-hiking/hikes/rim-primitive
LBA Park,Olympic Peninsula,4.0,trails,,,0.0,0,47.018072,-122.85522000000003,2019-08-04,2,https://www.wta.org/go-hiking/hikes/lba-park
River Loop,North Cascades,1.0,roundtrip,50.0,480.0,0.0,0,48.6711,-121.26089999999999,2019-03-31,2,https://www.wta.org/go-hiking/hikes/river-loop
Indian Henry's Hunting Ground via Longmire,Mount Rainier Area,14.0,roundtrip,3200.0,5600.0,4.12,8,46.7496666667,-121.81065000000001,2019-10-27,55,https://www.wta.org/go-hiking/hikes/indian-henrys-via-longmire
Lake Valhalla,Central Cascades,7.0,roundtrip,1500.0,5050.0,4.35,40,47.7479166667,-121.0883,2019-11-16,582,https://www.wta.org/go-hiking/hikes/lake-valhalla
Humpback Mountain,Snoqualmie Region,4.0,roundtrip,2500.0,5174.0,3.62,8,47.378410848,-121.51618766799999,2019-11-11,123,https://www.wta.org/go-hiking/hikes/humpback-mountain
West Elwha,Olympic Peninsula,6.0,roundtrip,500.0,650.0,4.12,8,48.0317753608,-123.59589904500001,2019-08-13,34,https://www.wta.org/go-hiking/hikes/west-elwha
Red Cedars,Issaquah Alps,0.6,roundtrip,,,2.5,2,47.5428531383,-122.080176696,2019-09-16,17,https://www.wta.org/go-hiking/hikes/red-cedars
Quartz Creek/Lake Blethen,Snoqualmie Region,11.0,roundtrip,2550.0,3700.0,2.17,6,47.56656565682024,-121.53290748596191,2019-09-13,21,https://www.wta.org/go-hiking/hikes/quartz-creek-lake-blethen
Red Mountain (Commonwealth Basin),Snoqualmie Region,11.0,roundtrip,2900.0,5890.0,3.62,8,47.42782880043812,-121.41344147734344,2019-11-16,128,https://www.wta.org/go-hiking/hikes/red-mountain-1
Rim Trail,South Cascades,0.9,roundtrip,100.0,3620.0,3.0,2,45.8812852261,-121.986522675,2010-08-21,1,https://www.wta.org/go-hiking/hikes/rim-trail-202
Quick Creek Camp,Snoqualmie Region,12.0,roundtrip,,,2.75,4,47.3859736638,-121.09405517599998,2019-10-05,7,https://www.wta.org/go-hiking/hikes/quick-creek-camp
Red Mountain (Painted Mountain),North Cascades,8.0,roundtrip,4875.0,6975.0,3.33,6,48.0587885,-121.28986329999998,2019-10-06,104,https://www.wta.org/go-hiking/hikes/red-mountain
Raptor Ridge Trail,Puget Sound and Islands,8.0,roundtrip,1500.0,,3.43,7,48.6999116492,-122.48966216999997,2019-11-11,77,https://www.wta.org/go-hiking/hikes/raptor-ridge-chuckanut-mountain
Rainbow Creek Trail,North Cascades,33.0,roundtrip,,,0.0,0,48.3377728254,-120.694109648,2018-06-02,10,https://www.wta.org/go-hiking/hikes/rainbow-creek-trail
Rainy Lake,Snoqualmie Region,13.0,roundtrip,2700.0,3750.0,3.69,13,47.5474941,-121.54096129999999,2019-10-26,80,https://www.wta.org/go-hiking/hikes/rainy-lake-1
Rainbow Lake,North Cascades,11.5,roundtrip,,,2.75,4,48.5076069,-120.73101830000002,2019-08-04,16,https://www.wta.org/go-hiking/hikes/rainbow-lake
Redmond Watershed Preserve,Puget Sound and Islands,4.5,roundtrip,400.0,580.0,3.8,5,47.696762314,-122.05147576299998,2019-10-19,87,https://www.wta.org/go-hiking/hikes/redmond-watershed-preserve
Red Pass,Snoqualmie Region,,,2300.0,5300.0,3.4,5,47.4290163055,-121.414718628,2019-09-25,53,https://www.wta.org/go-hiking/hikes/red-pass
Island Lake - Rainbow Lake,Snoqualmie Region,11.7,roundtrip,3000.0,4400.0,3.93,14,47.39785155895745,-121.48656159639359,2019-11-09,242,https://www.wta.org/go-hiking/hikes/rainbow-lake-1
Reynolds Creek,North Cascades,,,,,3.0,5,48.405588,-120.48969199999999,2017-05-27,6,https://www.wta.org/go-hiking/hikes/reynolds-creek
Rainier View,Mount Rainier Area,2.4,roundtrip,300.0,6000.0,4.3,10,47.0129,-121.46421666700002,2019-07-02,31,https://www.wta.org/go-hiking/hikes/rainier-view
Riley Camp,South Cascades,10.0,roundtrip,2280.0,5800.0,3.0,5,46.2323466,-121.6272174,2019-07-11,12,https://www.wta.org/go-hiking/hikes/riley-camp
Red Bluff,Eastern Washington,9.0,roundtrip,220.0,3920.0,4.5,4,48.856356117223044,-117.29157575332766,2019-08-18,7,https://www.wta.org/go-hiking/hikes/red-bluff
Red Mountain via Money Creek Road,Central Cascades,,,,5576.0,5.0,1,,,2011-11-25,2,https://www.wta.org/go-hiking/hikes/red-moutain-5576-money-creek
Rasar State Park,North Cascades,3.0,roundtrip,20.0,125.0,3.6,5,48.516737,-121.90588100000002,2019-07-10,39,https://www.wta.org/go-hiking/hikes/rasar-state-park
Rainbow Loop,Central Cascades,4.4,roundtrip,1000.0,2200.0,3.6,5,48.337913456709316,-120.69409053772688,2019-06-29,15,https://www.wta.org/go-hiking/hikes/rainbow-loop
Rainbow Falls State Park,Southwest Washington,3.0,roundtrip,200.0,450.0,2.57,7,46.6302,-123.23185000000001,2019-10-24,21,https://www.wta.org/go-hiking/hikes/rainbow-falls-state-park
Blazer Lake,Snoqualmie Region,,,,,4.5,2,,,2019-07-13,6,https://www.wta.org/go-hiking/hikes/rainbow-blazer-lakes
Red Mountain Lookout,South Cascades,8.0,roundtrip,,4968.0,3.5,2,45.9085055019,-121.811310053,2018-09-15,9,https://www.wta.org/go-hiking/hikes/red-mountain-lookout
Quartz Creek,Central Cascades,8.4,roundtrip,1500.0,4000.0,2.4,5,47.9245459,-121.28390389999998,2019-10-20,67,https://www.wta.org/go-hiking/hikes/quartz-creek-1
Reflection and Louise Lakes Snowshoe,Mount Rainier Area,7.0,roundtrip,560.0,5100.0,3.5,4,46.7666069,-121.69907410000002,2019-05-05,45,https://www.wta.org/go-hiking/hikes/reflection-and-louise-lakes-snowshoe
Potters Pond Fishing and Observation Platform,Eastern Washington,0.25,roundtrip,,,0.0,0,48.4269051,-117.6709467,,0,https://www.wta.org/go-hiking/hikes/potters-pond-fishing-and-observation-platform
Pleasant Valley Lake,Mount Rainier Area,5.2,roundtrip,2350.0,5740.0,3.0,4,46.9487248,-121.30175409999998,2019-05-17,12,https://www.wta.org/go-hiking/hikes/pleasant-valley-lake
Poo Top,Issaquah Alps,0.8,roundtrip,,2948.0,3.0,1,47.522994,-122.0269826,2019-10-05,64,https://www.wta.org/go-hiking/hikes/poo-top
Point Whitehorn,Puget Sound and Islands,4.0,roundtrip,,,3.0,2,48.8871678,-122.7794695,2019-10-20,18,https://www.wta.org/go-hiking/hikes/point-whitehorn
Preston Trail,Issaquah Alps,5.0,roundtrip,,,3.0,4,47.5303687,-121.94360159999997,2019-10-12,87,https://www.wta.org/go-hiking/hikes/preston-trail
Southeast Mox Peak,North Cascades,15.0,one-way,7400.0,8504.0,0.0,0,48.947222,-121.25694499999997,2015-06-30,1,https://www.wta.org/go-hiking/hikes/mox-peaks-southeast-peak
Rose Creek Nature Preserve,Eastern Washington,1.0,roundtrip,60.0,,0.0,0,46.82294773890454,-117.20953825214866,2019-09-30,2,https://www.wta.org/go-hiking/hikes/rose-creek-nature-preserve
Nisqually State Park,Mount Rainier Area,,,,,3.0,2,46.8638475151,-122.32853650999999,2019-11-08,20,https://www.wta.org/go-hiking/hikes/nisqually-state-park
Peepsight Mountain,North Cascades,,,8800.0,8146.0,0.0,0,48.7834,-120.10789999999997,2018-06-23,1,https://www.wta.org/go-hiking/hikes/peepsight-mountain
Round Mountain,Central Cascades,3.0,roundtrip,1700.0,5700.0,3.33,6,47.7923,-120.7944,2019-08-05,45,https://www.wta.org/go-hiking/hikes/round-mountain-1
Rocky Brook Falls,Olympic Peninsula,0.1,roundtrip,,,3.29,7,47.7091894109,-122.92049735800003,2019-07-07,67,https://www.wta.org/go-hiking/hikes/rocky-brook-falls
Queets Campground Loop,Olympic Peninsula,2.8,roundtrip,50.0,300.0,3.5,6,47.6164166667,-124.03206666699998,2019-02-24,12,https://www.wta.org/go-hiking/hikes/sams-river
Rowena Plateau and Tom McCall Point,Southwest Washington,3.4,roundtrip,1200.0,1750.0,5.0,1,45.6827982503,-121.30047798200002,2019-08-25,20,https://www.wta.org/go-hiking/hikes/rowena-plateau
Sage Hills,Central Washington,5.5,roundtrip,650.0,800.0,3.12,8,47.42934065048067,-120.36843113601202,2019-11-14,39,https://www.wta.org/go-hiking/hikes/sage-hills
Sa Teekh Wa Trail,North Cascades,2.0,roundtrip,,,4.0,1,48.4802328466,-120.185537338,2019-08-18,6,https://www.wta.org/go-hiking/hikes/sa-teekh-wa-trail
Saddle Rock,Central Washington,2.0,roundtrip,920.0,2000.0,3.5,8,47.3967983,-120.32953900000001,2019-04-26,48,https://www.wta.org/go-hiking/hikes/saddle-rock
Rock Creek,North Cascades,7.1,one-way,1500.0,5900.0,2.25,4,48.9175421,-120.63164599999999,2019-08-02,4,https://www.wta.org/go-hiking/hikes/rock-creek-1
Salmon Ridge Snowshoe,North Cascades,5.4,roundtrip,300.0,2400.0,3.0,1,48.9075513,-121.69411809999997,2019-02-15,11,https://www.wta.org/go-hiking/hikes/salmon-ridge-snowshoe
Robinson Creek - Robinson Mountain,North Cascades,23.0,roundtrip,2500.0,5000.0,3.12,8,48.6650333333,-120.54055,2019-11-11,40,https://www.wta.org/go-hiking/hikes/robinson-creek
Larrabee State Park - Rock Trail,Puget Sound and Islands,2.4,roundtrip,1200.0,1820.0,4.27,11,48.65382516200093,-122.46488844975829,2019-11-11,110,https://www.wta.org/go-hiking/hikes/rock-trail
Ring Hill Forest,Puget Sound and Islands,2.6,roundtrip,,,2.0,2,47.7500992,-122.0337346,2018-10-28,5,https://www.wta.org/go-hiking/hikes/ring-hill-forest
Ruby Mountain,North Cascades,17.0,roundtrip,6300.0,7408.0,3.57,7,48.717639505958566,-121.07414245605469,2019-09-02,41,https://www.wta.org/go-hiking/hikes/ruby-mountain
Snider-Jackson Traverse,Olympic Peninsula,12.5,one-way,796.0,1675.0,2.6,5,47.93773557174635,-124.16539907455444,2019-05-04,16,https://www.wta.org/go-hiking/hikes/rugged-ridge
Robinson Pass Loop,North Cascades,7.9,roundtrip,2500.0,6942.0,0.0,0,48.737836,-120.67849999999999,2016-08-10,3,https://www.wta.org/go-hiking/hikes/robinson-pass-cutoff-478a
Deer and Sand Lake,South Cascades,5.2,roundtrip,960.0,5315.0,2.78,9,46.6447333333,-121.38226666700001,2019-02-26,49,https://www.wta.org/go-hiking/hikes/sand-lake
Saltese Uplands,Eastern Washington,3.6,roundtrip,,,4.0,3,47.6422166,-117.12632719999999,2019-08-31,22,https://www.wta.org/go-hiking/hikes/saltese-uplands
Rock Creek,Snoqualmie Region,8.6,roundtrip,2500.0,4100.0,4.5,4,47.5162732117,-121.45231246899999,2019-07-11,23,https://www.wta.org/go-hiking/hikes/rock-creek-2
Rooster Mountain,Snoqualmie Region,14.0,roundtrip,4500.0,5340.0,4.0,6,47.5596601,-121.5327761,2019-06-13,23,https://www.wta.org/go-hiking/hikes/rooster-mountain
Robinson Canyon - Ainsley Canyon,Central Washington,10.0,roundtrip,1200.0,3400.0,3.17,6,47.0142075,-120.70540699999998,2019-08-02,59,https://www.wta.org/go-hiking/hikes/robinson-canyon-ainsley-canyon
Rock Mountain,North Cascades,,,,,0.0,0,,,2013-07-04,1,https://www.wta.org/go-hiking/hikes/rock-mountain-1
Roaring Ridge Snowshoe via Road 9070,Snoqualmie Region,10.0,roundtrip,3200.0,4988.0,0.0,0,47.38848018740843,-121.39707261841977,2019-04-28,5,https://www.wta.org/go-hiking/hikes/roaring-ridge-snowshoe-via-road-9070
Riverside State Park - Bowl &amp; Pitcher,Eastern Washington,2.1,roundtrip,166.0,2165.0,4.6,5,47.696216397,-117.49414444000001,2019-01-26,44,https://www.wta.org/go-hiking/hikes/riverside-state-park
Rainbow Canyon,Olympic Peninsula,1.0,roundtrip,,,2.25,4,47.8218833333,-122.88335000000001,2019-03-24,6,https://www.wta.org/go-hiking/hikes/rainbow-canyon
Quillayute River Slough,Olympic Peninsula,1.8,trails,60.0,50.0,2.5,4,47.91815,-124.602667,2019-04-24,7,https://www.wta.org/go-hiking/hikes/quillayute-river
Red Mountain Snowshoe,Snoqualmie Region,8.0,roundtrip,3560.0,5880.0,0.0,0,47.4027645052,-121.111092567,2019-05-03,10,https://www.wta.org/go-hiking/hikes/red-mountain-2
Sunrise Peak,South Cascades,3.0,roundtrip,1400.0,5892.0,3.57,7,46.3353833333,-121.743383333,2019-07-07,25,https://www.wta.org/go-hiking/hikes/sunrise-peak
Sunrise Lake,North Cascades,14.0,roundtrip,3600.0,7200.0,3.0,1,48.1751,-120.2613,2019-08-11,22,https://www.wta.org/go-hiking/hikes/sunrise-lake-chelan-sawtooths
Surprise Lake Snowshoe,Central Cascades,8.0,roundtrip,2300.0,4500.0,3.0,6,47.7078,-121.1567,2019-05-04,76,https://www.wta.org/go-hiking/hikes/surprise-lake-snowshoe
Surprise Creek,Issaquah Alps,0.6,one-way,,,2.67,3,47.540120427164126,-122.09511995315552,2019-11-11,35,https://www.wta.org/go-hiking/hikes/surprise-creek
Sunrise Lake,Mount Rainier Area,1.5,roundtrip,425.0,6150.0,3.82,11,46.91755,-121.58780000000002,2019-10-11,9,https://www.wta.org/go-hiking/hikes/sunrise-lake
Taylor Mountain,Issaquah Alps,30.0,trails,550.0,1100.0,2.42,12,47.432865642,-121.971057342,2019-08-02,81,https://www.wta.org/go-hiking/hikes/taylor-mountain
Talus Rock Trail,Issaquah Alps,1.2,roundtrip,,,3.2,5,47.5197593515,-121.970699653,2019-10-12,77,https://www.wta.org/go-hiking/hikes/talus-rock-trail
Switchback,Olympic Peninsula,1.2,roundtrip,500.0,5200.0,3.0,6,47.9865778949,-123.46089243799997,2019-09-19,31,https://www.wta.org/go-hiking/hikes/switchback
Tarbell Trail,Southwest Washington,24.75,roundtrip,,4120.0,2.33,3,45.7756650999,-122.33782768200001,2019-09-02,35,https://www.wta.org/go-hiking/hikes/tarbell-trail
Table Rock,Eastern Washington,1.2,roundtrip,400.0,6250.0,4.5,2,46.0304185636,-117.91127526899999,2019-07-13,5,https://www.wta.org/go-hiking/hikes/table-rock-squaw-peak
Sumas Mountain,Puget Sound and Islands,6.0,roundtrip,2000.0,3100.0,3.75,8,48.924464,-122.26155299999999,2019-06-03,25,https://www.wta.org/go-hiking/hikes/sumas-mountain
Summit Trail,Issaquah Alps,,,,,4.4,5,47.5045115552,-122.046877742,2019-11-10,26,https://www.wta.org/go-hiking/hikes/summit-trail
Sulphur Creek,North Cascades,3.6,roundtrip,900.0,2250.0,3.57,7,48.2498333333,-121.19361666700001,2019-09-22,30,https://www.wta.org/go-hiking/hikes/sulphur-creek
Sultan Gorge,Central Cascades,,,,,4.0,1,47.9793157,-121.6908772,2017-06-11,2,https://www.wta.org/go-hiking/hikes/sultan-gorge
Sucia Island State Park,Puget Sound and Islands,10.0,trails,223.0,223.0,4.2,5,48.752821834470836,-122.90426731109619,2018-07-28,10,https://www.wta.org/go-hiking/hikes/sucia-island
Spokane River Centennial State Park Trail,Eastern Washington,37.0,one-way,600.0,2200.0,3.8,5,47.6968078,-117.49358319999999,2019-03-16,19,https://www.wta.org/go-hiking/hikes/spokane-river-centennial
St. Louis Falls and Mines,North Cascades,,,,,0.0,0,,,2019-03-24,8,https://www.wta.org/go-hiking/hikes/st.-louis-falls-and-mines
South Tiger Powerline,Issaquah Alps,1.2,roundtrip,,,2.67,3,47.4544007977,-121.978308409,2019-01-26,13,https://www.wta.org/go-hiking/hikes/south-tiger-powerline
Southwest County Park,Puget Sound and Islands,,,,,2.0,2,47.8367072,-122.3401624,2017-08-03,9,https://www.wta.org/go-hiking/hikes/southwest-county-park
Standup Creek,Snoqualmie Region,14.4,roundtrip,3100.0,6200.0,1.83,6,47.3514986,-120.84122200000002,2019-09-19,51,https://www.wta.org/go-hiking/hikes/standup-creek
Squak Mountain's East Side Loop,Issaquah Alps,8.0,roundtrip,1700.0,2025.0,2.86,7,47.5284161855,-122.03630447400002,2019-10-13,30,https://www.wta.org/go-hiking/hikes/squak-mountain-eastside-loop
Stormy Mountain Summit,Central Cascades,13.0,roundtrip,5500.0,,0.0,0,47.8904726904,-120.43921798500003,2017-07-23,4,https://www.wta.org/go-hiking/hikes/stormy-mountain-summit
Spinnaker Peak Snowshoe,Central Cascades,,,,5645.0,0.0,0,47.7833338,-121.1103132,2014-01-16,2,https://www.wta.org/go-hiking/hikes/spinnaker-peak-snowshoe
Squire Creek,North Cascades,8.5,roundtrip,2566.0,,3.6,5,48.2087585073,-121.62978744500003,2019-11-02,71,https://www.wta.org/go-hiking/hikes/squire-creek
St'auk Mountain,North Cascades,,,,4715.0,0.0,0,48.037146,-121.47899949999999,2013-05-27,1,https://www.wta.org/go-hiking/hikes/stauk-mountain
Bluff Trail,Southwest Washington,4.4,roundtrip,1900.0,3500.0,2.25,4,46.0608,-121.97211666700002,2011-07-26,1,https://www.wta.org/go-hiking/hikes/spencer-creek-trail
Stevens Canyon Waterfalls,Mount Rainier Area,8.0,roundtrip,1675.0,3750.0,3.0,8,46.7601666667,-121.63906666700001,2019-08-17,27,https://www.wta.org/go-hiking/hikes/stevens-canyon-waterfalls
Starway,Southwest Washington,11.0,roundtrip,2377.0,3977.0,3.25,4,45.787342901,-122.22236108800001,2019-05-03,3,https://www.wta.org/go-hiking/hikes/starway
South Lost Lake Trail,Puget Sound and Islands,9.0,roundtrip,1950.0,1650.0,3.2,5,48.6467538,-122.46257650000001,2019-06-09,85,https://www.wta.org/go-hiking/hikes/south-lost-lake-trail
St. Cloud,Southwest Washington,1.0,roundtrip,,50.0,3.67,3,45.6013080042,-122.111148834,2019-09-01,3,https://www.wta.org/go-hiking/hikes/st.-cloud
Jefferson Ridge,Olympic Peninsula,4.8,roundtrip,1832.0,3832.0,3.5,6,47.5712333333,-123.13151666700003,2019-06-08,45,https://www.wta.org/go-hiking/hikes/jefferson-ridge
Hamma Hamma Beaver Pond,Olympic Peninsula,0.7,roundtrip,,,2.6,5,47.58833634890036,-123.19107055664062,2018-01-21,9,https://www.wta.org/go-hiking/hikes/hamma-hamma-beaver-pond
Kettle Crest South,Eastern Washington,5.0,roundtrip,900.0,6500.0,3.6,10,48.631132,-118.4935064,2019-08-03,24,https://www.wta.org/go-hiking/hikes/kettle-crest-south
White Mountain via Kettle Crest Trail South,Eastern Washington,28.0,roundtrip,1500.0,6921.0,3.2,5,48.8832245,-118.76781269999998,2019-08-25,7,https://www.wta.org/go-hiking/hikes/white-mountain
Westside Road,Mount Rainier Area,11.0,roundtrip,,,1.75,4,46.7353900343,-121.85657501200001,2019-10-09,55,https://www.wta.org/go-hiking/hikes/westside-road
Silver Forest - Emmons Vista,Mount Rainier Area,2.5,roundtrip,325.0,6400.0,3.83,6,46.9140733402,-121.641842333,2019-09-01,16,https://www.wta.org/go-hiking/hikes/silver-forest-emmons-vista
Lake George,Mount Rainier Area,9.2,roundtrip,930.0,,3.0,8,46.78337317025623,-121.88758537173271,2019-10-09,44,https://www.wta.org/go-hiking/hikes/lake-george
Klapatche Park,Mount Rainier Area,21.4,roundtrip,3300.0,6000.0,4.0,5,46.8345519,-121.87315710000001,2019-08-28,20,https://www.wta.org/go-hiking/hikes/klapatche-park
Miners Ridge (Entiat),Central Cascades,4.0,roundtrip,850.0,5750.0,3.8,5,47.8001666667,-120.57235,2017-08-26,4,https://www.wta.org/go-hiking/hikes/miners-ridge
Trout Creek,North Cascades,5.4,roundtrip,800.0,5420.0,2.0,3,48.698283333333336,-120.63678333333333,2019-07-04,1,https://www.wta.org/go-hiking/hikes/trout-creek-1
Guye Peak,Snoqualmie Region,6.0,roundtrip,2100.0,5168.0,4.0,9,47.4418470459,-121.42252922099999,2019-11-10,105,https://www.wta.org/go-hiking/hikes/guye-peak
Silver Lake - Monte Cristo,North Cascades,11.0,roundtrip,2000.0,4350.0,4.67,3,48.0349374554,-121.44561767599998,2019-11-10,90,https://www.wta.org/go-hiking/hikes/silver-lake-3
Ohanapecosh Hot Springs,Mount Rainier Area,0.4,roundtrip,50.0,2000.0,3.86,7,46.73305,-121.56928333299999,2019-08-05,15,https://www.wta.org/go-hiking/hikes/ohanapecosh-hot-springs
Windy Ridge Trail,South Cascades,4.0,roundtrip,200.0,4200.0,3.38,8,46.24995,-122.13614999999999,2019-09-25,26,https://www.wta.org/go-hiking/hikes/windy-ridge
North Fork Walla Walla River,Eastern Washington,20.2,roundtrip,1540.0,5400.0,0.0,0,45.9417953,-118.00258550000001,2017-05-27,1,https://www.wta.org/go-hiking/hikes/north-fork-walla-walla-river
Table Springs/Bear Creek,Eastern Washington,13.0,roundtrip,2840.0,5280.0,0.0,0,45.90113388409295,-118.03292512893677,2017-05-27,1,https://www.wta.org/go-hiking/hikes/table-springs-bear-creek
Zig Zag Lake,South Cascades,1.0,roundtrip,730.0,4000.0,3.17,6,45.8464333333,-122.111166667,2019-07-25,7,https://www.wta.org/go-hiking/hikes/zig-zag-lake
Battle Ground Lake State Park - Lower Lake Trail,Southwest Washington,1.0,roundtrip,120.0,680.0,0.0,0,45.8029814413,-122.49135689899998,2018-08-29,11,https://www.wta.org/go-hiking/hikes/battle-ground-lake-lower-lake-trail
Gold Creek Pond,Snoqualmie Region,1.0,roundtrip,10.0,3000.0,4.26,19,47.4094357,-121.36772329999997,2019-11-06,169,https://www.wta.org/go-hiking/hikes/gold-creek-pond
Shady Lane,Olympic Peninsula,1.8,roundtrip,,,3.42,12,47.5153457091,-123.322906494,2019-08-04,33,https://www.wta.org/go-hiking/hikes/shady-lane
Fort Simcoe Historical State Park,Central Washington,1.6,roundtrip,,,0.0,0,46.34415548404255,-120.83758988954924,2019-05-17,1,https://www.wta.org/go-hiking/hikes/fort-simcoe-historical-state-park
Palouse to Cascades Trail - Tekoa Trailhead,Eastern Washington,,,,,4.0,1,47.2227045855,-117.107584476,2018-07-01,4,https://www.wta.org/go-hiking/hikes/palouse-to-cascades-trail-tekoa
Trillium Community Forest,Puget Sound and Islands,7.0,trails,100.0,260.0,3.0,1,48.0501013332,-122.56789684299997,2019-08-06,3,https://www.wta.org/go-hiking/hikes/trillium-community-forest-land
Tumwater Falls Park,Olympic Peninsula,0.5,roundtrip,30.0,150.0,4.2,5,47.0140964077,-122.90449462800001,2019-10-31,26,https://www.wta.org/go-hiking/hikes/tumwater-falls-park
Lake 22 - Winter,North Cascades,5.0,roundtrip,1200.0,2440.0,3.5,10,48.077615,-121.7468853,2019-10-26,210,https://www.wta.org/go-hiking/hikes/lake-twentytwo-snowshoe
Ralph Munro Trail,Olympic Peninsula,4.0,roundtrip,60.0,190.0,0.0,0,47.045612,-122.97246200000001,,0,https://www.wta.org/go-hiking/hikes/ralph-munro-trail
McLane School Forest Trail,Olympic Peninsula,1.0,roundtrip,50.0,190.0,0.0,0,47.0441064644353,-122.97967183201598,2019-03-03,1,https://www.wta.org/go-hiking/hikes/mclane-school-forest-trail
